H(KM)  VP(KM/S)  VS(KM/S)  RHO(GM/CC)  QP  QS  ETAP  ETAS  FREFP  FREFS
0.7813   2.34      1.35      1518.2   500  250  0.0  0.0   1.0   1.0
0.9957   2.42      1.40      1545.9   500  250  0.0  0.0   1.0   1.0
1.2132   4.59      2.65      2238.7   500  250  0.0  0.0   1.0   1.0
1.1272   5.32      3.06      2471.6   500  250  0.0  0.0   1.0   1.0
2.1131   5.68      3.28      2587.9   500  250  0.0  0.0   1.0   1.0
0.8142   3.79      2.19      1983.4   500  250  0.0  0.0   1.0   1.0
0.6862   4.28      2.47      2139.0   500  250  0.0  0.0   1.0   1.0
0.7131   4.28      2.47      2139.0   500  250  0.0  0.0   1.0   1.0
1.0546   4.57      2.65      2279.0   500  250  0.0  0.0   1.0   1.0
1.3322   5.07      2.93      2394.0   500  250  0.0  0.0   1.0   1.0
5.6798   5.40      3.12      2499.0   500  250  0.0  0.0   1.0   1.0
24.792   5.87      3.40      2648.0   500  250  0.0  0.0   1.0   1.0
30.000   6.94      4.01      2990.8   500  250  0.0  0.0   1.0   1.0
88.888   6.94      4.01      2990.8   500  250  0.0  0.0   1.0   1.0
